type,selected_severity,description,location,target_severity,model_text
CLEANLINESS,HIGH,אשפה מסוכנת מפוזרת בכניסה לבניין זה קורה כבר כמה פעמים,בקומה 2,HIGH,type_CLEANLINESS selected_HIGH location_בקומה 2 אשפה מסוכנת מפוזרת בכניסה לבניין זה קורה כבר כמה פעמים
SAFETY,LOW,מרצפת מעט עקומה ללא סכנה מיידית זה קורה כבר כמה פעמים,ליד המעלית,LOW,type_SAFETY selected_LOW location_ליד המעלית מרצפת מעט עקומה ללא סכנה מיידית זה קורה כבר כמה פעמים
CLEANLINESS,HIGH,לכלוך חמור שעלול לגרום לסכנה בריאותית זה קורה כבר כמה פעמים,בלובי,HIGH,type_CLEANLINESS selected_HIGH location_בלובי לכלוך חמור שעלול לגרום לסכנה בריאותית זה קורה כבר כמה פעמים
CLEANLINESS,LOW,לכלוך חריג בחדר מדרגות,בכניסה לבניין,MEDIUM,type_CLEANLINESS selected_LOW location_בכניסה לבניין לכלוך חריג בחדר מדרגות
SAFETY,HIGH,קיר או תקרה נראים לפני קריסה הדיירים התלוננו על זה,ליד ארון החשמל,HIGH,type_SAFETY selected_HIGH location_ליד ארון החשמל קיר או תקרה נראים לפני קריסה הדיירים התלוננו על זה
CLEANLINESS,MEDIUM,יש ריח לא נעים בלובי כבר יומיים,בקומה 5,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בקומה 5 יש ריח לא נעים בלובי כבר יומיים
OTHER,HIGH,אירוע חריג שמצריך תגובה מיידית נא לטפל בהקדם,בגינה,HIGH,type_OTHER selected_HIGH location_בגינה אירוע חריג שמצריך תגובה מיידית נא לטפל בהקדם
NOISE,MEDIUM,רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות,ליד המעלית,HIGH,type_NOISE selected_MEDIUM location_ליד המעלית רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות
CLEANLINESS,HIGH,שקיות זבל נשארו ליד הכניסה זה קורה כבר כמה פעמים,בכניסה לבניין,MEDIUM,type_CLEANLINESS selected_HIGH location_בכניסה לבניין שקיות זבל נשארו ליד הכניסה זה קורה כבר כמה פעמים
SAFETY,HIGH,קיר או תקרה נראים לפני קריסה זה קורה כבר כמה פעמים נא לטפל בהקדם,,HIGH,type_SAFETY selected_HIGH location_ קיר או תקרה נראים לפני קריסה זה קורה כבר כמה פעמים נא לטפל בהקדם
CLEANLINESS,MEDIUM,יש קצת לכלוך בלובי,בחדר מדרגות,LOW,type_CLEANLINESS selected_MEDIUM location_בחדר מדרגות יש קצת לכלוך בלובי
SAFETY,HIGH,ריח גז חזק בבניין,בקומה 1,HIGH,type_SAFETY selected_HIGH location_בקומה 1 ריח גז חזק בבניין
NOISE,MEDIUM,רעש מתמשך מהחניה זה קורה כבר כמה פעמים,ליד ארון החשמל,MEDIUM,type_NOISE selected_MEDIUM location_ליד ארון החשמל רעש מתמשך מהחניה זה קורה כבר כמה פעמים
CLEANLINESS,HIGH,צריך ניקיון רגיל בחדר מדרגות זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בחדר אשפה,LOW,type_CLEANLINESS selected_HIGH location_בחדר אשפה צריך ניקיון רגיל בחדר מדרגות זה קורה כבר כמה פעמים הדיירים התלוננו על זה
NOISE,MEDIUM,מוזיקה חזקה מהדירה מעל כבר כמה שעות,בחניה,MEDIUM,type_NOISE selected_MEDIUM location_בחניה מוזיקה חזקה מהדירה מעל כבר כמה שעות
SAFETY,HIGH,שריפה קטנה בלובי,בחדר מדרגות,HIGH,type_SAFETY selected_HIGH location_בחדר מדרגות שריפה קטנה בלובי
SAFETY,MEDIUM,מעקה מעט רופף אבל לא נראה מסוכן כרגע זה קורה כבר כמה פעמים נא לטפל בהקדם הדיירים התלוננו על זה,בחדר מדרגות,LOW,type_SAFETY selected_MEDIUM location_בחדר מדרגות מעקה מעט רופף אבל לא נראה מסוכן כרגע זה קורה כבר כמה פעמים נא לטפל בהקדם הדיירים התלוננו על זה
SAFETY,MEDIUM,תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה,ליד המעלית,MEDIUM,type_SAFETY selected_MEDIUM location_ליד המעלית תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה
CLEANLINESS,MEDIUM,יש ריח לא נעים בלובי כבר יומיים,במחסן,MEDIUM,type_CLEANLINESS selected_MEDIUM location_במחסן יש ריח לא נעים בלובי כבר יומיים
NOISE,HIGH,רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות נא לטפל בהקדם,בחניה,HIGH,type_NOISE selected_HIGH location_בחניה רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות נא לטפל בהקדם
CLEANLINESS,MEDIUM,לכלוך חמור שעלול לגרום לסכנה בריאותית זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בכניסה לבניין,HIGH,type_CLEANLINESS selected_MEDIUM location_בכניסה לבניין לכלוך חמור שעלול לגרום לסכנה בריאותית זה קורה כבר כמה פעמים הדיירים התלוננו על זה
OTHER,LOW,יש הערה קטנה לגבי תחזוקה,בקומה 1,LOW,type_OTHER selected_LOW location_בקומה 1 יש הערה קטנה לגבי תחזוקה
CLEANLINESS,LOW,צריך ניקיון רגיל בחדר מדרגות,בכניסה לבניין,LOW,type_CLEANLINESS selected_LOW location_בכניסה לבניין צריך ניקיון רגיל בחדר מדרגות
NOISE,MEDIUM,רעש חזק בלילה שמפריע לדיירים,בחדר מדרגות,MEDIUM,type_NOISE selected_MEDIUM location_בחדר מדרגות רעש חזק בלילה שמפריע לדיירים
CLEANLINESS,LOW,יש קצת לכלוך בלובי הדיירים התלוננו על זה,בקומה 5,LOW,type_CLEANLINESS selected_LOW location_בקומה 5 יש קצת לכלוך בלובי הדיירים התלוננו על זה
SAFETY,HIGH,קיר או תקרה נראים לפני קריסה,בגינה,HIGH,type_SAFETY selected_HIGH location_בגינה קיר או תקרה נראים לפני קריסה
NOISE,MEDIUM,רעש מתמשך מהחניה זה קורה כבר כמה פעמים,במחסן,MEDIUM,type_NOISE selected_MEDIUM location_במחסן רעש מתמשך מהחניה זה קורה כבר כמה פעמים
OTHER,HIGH,מצב מסוכן שמצריך טיפול בהול,בחדר אשפה,HIGH,type_OTHER selected_HIGH location_בחדר אשפה מצב מסוכן שמצריך טיפול בהול
SAFETY,HIGH,קיר או תקרה נראים לפני קריסה,,HIGH,type_SAFETY selected_HIGH location_ קיר או תקרה נראים לפני קריסה
SAFETY,HIGH,שריפה קטנה בלובי,בחדר אשפה,HIGH,type_SAFETY selected_HIGH location_בחדר אשפה שריפה קטנה בלובי
OTHER,MEDIUM,תקלה לא מסוכנת אבל מפריעה לדיירים,בקומה 1,MEDIUM,type_OTHER selected_MEDIUM location_בקומה 1 תקלה לא מסוכנת אבל מפריעה לדיירים
CLEANLINESS,HIGH,ביוב עולה ויש ריח חריף מאוד,בקומה 2,HIGH,type_CLEANLINESS selected_HIGH location_בקומה 2 ביוב עולה ויש ריח חריף מאוד
NOISE,HIGH,יש דיבורים בקומה אבל זה לא מפריע מאוד,במחסן,LOW,type_NOISE selected_HIGH location_במחסן יש דיבורים בקומה אבל זה לא מפריע מאוד
CLEANLINESS,HIGH,אשפה מסוכנת מפוזרת בכניסה לבניין הדיירים התלוננו על זה,בקומה 1,HIGH,type_CLEANLINESS selected_HIGH location_בקומה 1 אשפה מסוכנת מפוזרת בכניסה לבניין הדיירים התלוננו על זה
SAFETY,HIGH,זכוכית שבורה מסוכנת ליד הכניסה זה קורה כבר כמה פעמים,בלובי,HIGH,type_SAFETY selected_HIGH location_בלובי זכוכית שבורה מסוכנת ליד הכניסה זה קורה כבר כמה פעמים
OTHER,LOW,בקשה כללית לבדיקה כשאפשר הדיירים התלוננו על זה,במחסן,LOW,type_OTHER selected_LOW location_במחסן בקשה כללית לבדיקה כשאפשר הדיירים התלוננו על זה
CLEANLINESS,LOW,יש מעט אבק ליד הכניסה,בחניה,LOW,type_CLEANLINESS selected_LOW location_בחניה יש מעט אבק ליד הכניסה
OTHER,LOW,יש הערה קטנה לגבי תחזוקה,בחדר אשפה,LOW,type_OTHER selected_LOW location_בחדר אשפה יש הערה קטנה לגבי תחזוקה
NOISE,MEDIUM,רעש חזק בלילה שמפריע לדיירים,בקומה 5,MEDIUM,type_NOISE selected_MEDIUM location_בקומה 5 רעש חזק בלילה שמפריע לדיירים
SAFETY,HIGH,ריח גז חזק בבניין זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בחדר מדרגות,HIGH,type_SAFETY selected_HIGH location_בחדר מדרגות ריח גז חזק בבניין זה קורה כבר כמה פעמים הדיירים התלוננו על זה
OTHER,LOW,יש בעיה קטנה שאפשר לטפל בה בהמשך זה קורה כבר כמה פעמים נא לטפל בהקדם,בגינה,LOW,type_OTHER selected_LOW location_בגינה יש בעיה קטנה שאפשר לטפל בה בהמשך זה קורה כבר כמה פעמים נא לטפל בהקדם
OTHER,LOW,בקשה כללית לבדיקה כשאפשר,,LOW,type_OTHER selected_LOW location_ בקשה כללית לבדיקה כשאפשר
SAFETY,MEDIUM,מרצפת מעט עקומה ללא סכנה מיידית,,LOW,type_SAFETY selected_MEDIUM location_ מרצפת מעט עקומה ללא סכנה מיידית
SAFETY,LOW,תאורה חלשה באזור הכניסה זה קורה כבר כמה פעמים,בקומה 5,LOW,type_SAFETY selected_LOW location_בקומה 5 תאורה חלשה באזור הכניסה זה קורה כבר כמה פעמים
NOISE,HIGH,רעש חירום חזק מהחניה בשעות הלילה זה קורה כבר כמה פעמים,,HIGH,type_NOISE selected_HIGH location_ רעש חירום חזק מהחניה בשעות הלילה זה קורה כבר כמה פעמים
SAFETY,HIGH,שריפה קטנה בלובי נא לטפל בהקדם,ליד ארון החשמל,HIGH,type_SAFETY selected_HIGH location_ליד ארון החשמל שריפה קטנה בלובי נא לטפל בהקדם
OTHER,MEDIUM,בעיה שחוזרת כמה פעמים ודורשת טיפול נא לטפל בהקדם,בחדר מדרגות,MEDIUM,type_OTHER selected_MEDIUM location_בחדר מדרגות בעיה שחוזרת כמה פעמים ודורשת טיפול נא לטפל בהקדם
OTHER,LOW,יש בעיה קטנה שאפשר לטפל בה בהמשך נא לטפל בהקדם,ליד ארון החשמל,LOW,type_OTHER selected_LOW location_ליד ארון החשמל יש בעיה קטנה שאפשר לטפל בה בהמשך נא לטפל בהקדם
CLEANLINESS,MEDIUM,נזילה קטנה שגרמה לרטיבות בקיר,בלובי,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בלובי נזילה קטנה שגרמה לרטיבות בקיר
OTHER,LOW,צריך לבדוק משהו לא דחוף,בגינה,LOW,type_OTHER selected_LOW location_בגינה צריך לבדוק משהו לא דחוף
CLEANLINESS,MEDIUM,לכלוך חריג בחדר מדרגות זה קורה כבר כמה פעמים,ליד ארון החשמל,MEDIUM,type_CLEANLINESS selected_MEDIUM location_ליד ארון החשמל לכלוך חריג בחדר מדרגות זה קורה כבר כמה פעמים
CLEANLINESS,LOW,יש כמה ניירות על הרצפה נא לטפל בהקדם,בגינה,LOW,type_CLEANLINESS selected_LOW location_בגינה יש כמה ניירות על הרצפה נא לטפל בהקדם
CLEANLINESS,HIGH,ביוב עולה ויש ריח חריף מאוד,בחניה,HIGH,type_CLEANLINESS selected_HIGH location_בחניה ביוב עולה ויש ריח חריף מאוד
CLEANLINESS,HIGH,הצפה בחדר מדרגות ומים זורמים,בקומה 1,HIGH,type_CLEANLINESS selected_HIGH location_בקומה 1 הצפה בחדר מדרגות ומים זורמים
SAFETY,HIGH,יש ונדליזם ליד המעלית,בקומה 1,MEDIUM,type_SAFETY selected_HIGH location_בקומה 1 יש ונדליזם ליד המעלית
SAFETY,HIGH,יש ריח שרוף ליד ארון החשמל,בכניסה לבניין,HIGH,type_SAFETY selected_HIGH location_בכניסה לבניין יש ריח שרוף ליד ארון החשמל
CLEANLINESS,HIGH,אשפה מסוכנת מפוזרת בכניסה לבניין זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בקומה 2,HIGH,type_CLEANLINESS selected_HIGH location_בקומה 2 אשפה מסוכנת מפוזרת בכניסה לבניין זה קורה כבר כמה פעמים הדיירים התלוננו על זה
NOISE,LOW,שומעים מעט רעש מהשכנים במהלך היום זה קורה כבר כמה פעמים נא לטפל בהקדם,,LOW,type_NOISE selected_LOW location_ שומעים מעט רעש מהשכנים במהלך היום זה קורה כבר כמה פעמים נא לטפל בהקדם
NOISE,LOW,רעש קל מהחצר בשעות היום,ליד ארון החשמל,LOW,type_NOISE selected_LOW location_ליד ארון החשמל רעש קל מהחצר בשעות היום
SAFETY,LOW,מעקה מעט רופף אבל לא נראה מסוכן כרגע,בגינה,LOW,type_SAFETY selected_LOW location_בגינה מעקה מעט רופף אבל לא נראה מסוכן כרגע
SAFETY,LOW,תאורה חלשה באזור הכניסה,במחסן,LOW,type_SAFETY selected_LOW location_במחסן תאורה חלשה באזור הכניסה
CLEANLINESS,HIGH,נזילה חזקה שגורמת להצפה,בקומה 2,HIGH,type_CLEANLINESS selected_HIGH location_בקומה 2 נזילה חזקה שגורמת להצפה
CLEANLINESS,HIGH,נזילה חזקה שגורמת להצפה זה קורה כבר כמה פעמים,,HIGH,type_CLEANLINESS selected_HIGH location_ נזילה חזקה שגורמת להצפה זה קורה כבר כמה פעמים
NOISE,LOW,שומעים מעט רעש מהשכנים במהלך היום נא לטפל בהקדם,בחדר אשפה,LOW,type_NOISE selected_LOW location_בחדר אשפה שומעים מעט רעש מהשכנים במהלך היום נא לטפל בהקדם
SAFETY,MEDIUM,דלת כניסה לא נסגרת ויש חשש ביטחוני,בקומה 5,MEDIUM,type_SAFETY selected_MEDIUM location_בקומה 5 דלת כניסה לא נסגרת ויש חשש ביטחוני
SAFETY,LOW,שריפה קטנה בלובי,במחסן,HIGH,type_SAFETY selected_LOW location_במחסן שריפה קטנה בלובי
SAFETY,HIGH,זכוכית שבורה מסוכנת ליד הכניסה זה קורה כבר כמה פעמים,בקומה 1,HIGH,type_SAFETY selected_HIGH location_בקומה 1 זכוכית שבורה מסוכנת ליד הכניסה זה קורה כבר כמה פעמים
CLEANLINESS,MEDIUM,יש הרבה אשפה בחדר אשפה וריח רע,בגינה,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בגינה יש הרבה אשפה בחדר אשפה וריח רע
SAFETY,LOW,תאורה חלשה באזור הכניסה נא לטפל בהקדם הדיירים התלוננו על זה,בקומה 5,LOW,type_SAFETY selected_LOW location_בקומה 5 תאורה חלשה באזור הכניסה נא לטפל בהקדם הדיירים התלוננו על זה
SAFETY,HIGH,חוטי חשמל חשופים ליד הכניסה זה קורה כבר כמה פעמים,בקומה 1,HIGH,type_SAFETY selected_HIGH location_בקומה 1 חוטי חשמל חשופים ליד הכניסה זה קורה כבר כמה פעמים
CLEANLINESS,MEDIUM,יש הרבה אשפה בחדר אשפה וריח רע הדיירים התלוננו על זה,,MEDIUM,type_CLEANLINESS selected_MEDIUM location_ יש הרבה אשפה בחדר אשפה וריח רע הדיירים התלוננו על זה
CLEANLINESS,HIGH,ביוב עולה ויש ריח חריף מאוד,בקומה 5,HIGH,type_CLEANLINESS selected_HIGH location_בקומה 5 ביוב עולה ויש ריח חריף מאוד
SAFETY,HIGH,יש ונדליזם ליד המעלית זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בחדר אשפה,MEDIUM,type_SAFETY selected_HIGH location_בחדר אשפה יש ונדליזם ליד המעלית זה קורה כבר כמה פעמים הדיירים התלוננו על זה
SAFETY,LOW,יש בורג חסר בשלט של הבניין,בכניסה לבניין,LOW,type_SAFETY selected_LOW location_בכניסה לבניין יש בורג חסר בשלט של הבניין
OTHER,LOW,יש בעיה קטנה שאפשר לטפל בה בהמשך נא לטפל בהקדם הדיירים התלוננו על זה,ליד ארון החשמל,LOW,type_OTHER selected_LOW location_ליד ארון החשמל יש בעיה קטנה שאפשר לטפל בה בהמשך נא לטפל בהקדם הדיירים התלוננו על זה
CLEANLINESS,HIGH,הצפה בחדר מדרגות ומים זורמים זה קורה כבר כמה פעמים,בחניה,HIGH,type_CLEANLINESS selected_HIGH location_בחניה הצפה בחדר מדרגות ומים זורמים זה קורה כבר כמה פעמים
SAFETY,LOW,מרצפת מעט עקומה ללא סכנה מיידית נא לטפל בהקדם,בחדר מדרגות,LOW,type_SAFETY selected_LOW location_בחדר מדרגות מרצפת מעט עקומה ללא סכנה מיידית נא לטפל בהקדם
NOISE,HIGH,רעש חריג מאוד באמצע הלילה עם צעקות חזקות,בגינה,HIGH,type_NOISE selected_HIGH location_בגינה רעש חריג מאוד באמצע הלילה עם צעקות חזקות
NOISE,MEDIUM,מישהו הזיז רהיטים לזמן קצר זה קורה כבר כמה פעמים,ליד ארון החשמל,LOW,type_NOISE selected_MEDIUM location_ליד ארון החשמל מישהו הזיז רהיטים לזמן קצר זה קורה כבר כמה פעמים
SAFETY,HIGH,עשן יוצא מחדר החשמל,בגינה,HIGH,type_SAFETY selected_HIGH location_בגינה עשן יוצא מחדר החשמל
SAFETY,MEDIUM,יש ונדליזם ליד המעלית הדיירים התלוננו על זה,בכניסה לבניין,MEDIUM,type_SAFETY selected_MEDIUM location_בכניסה לבניין יש ונדליזם ליד המעלית הדיירים התלוננו על זה
SAFETY,MEDIUM,מרצפת שבורה שעלולה לגרום לנפילה זה קורה כבר כמה פעמים,בחדר מדרגות,MEDIUM,type_SAFETY selected_MEDIUM location_בחדר מדרגות מרצפת שבורה שעלולה לגרום לנפילה זה קורה כבר כמה פעמים
OTHER,LOW,נדרש טיפול של ועד הבית בזמן הקרוב זה קורה כבר כמה פעמים,ליד המעלית,MEDIUM,type_OTHER selected_LOW location_ליד המעלית נדרש טיפול של ועד הבית בזמן הקרוב זה קורה כבר כמה פעמים
NOISE,MEDIUM,רעש מתמשך מהחניה זה קורה כבר כמה פעמים נא לטפל בהקדם,בחדר מדרגות,MEDIUM,type_NOISE selected_MEDIUM location_בחדר מדרגות רעש מתמשך מהחניה זה קורה כבר כמה פעמים נא לטפל בהקדם
CLEANLINESS,LOW,יש כמה ניירות על הרצפה,,LOW,type_CLEANLINESS selected_LOW location_ יש כמה ניירות על הרצפה
SAFETY,HIGH,יש ניצוצות מארון החשמל בלובי,בכניסה לבניין,HIGH,type_SAFETY selected_HIGH location_בכניסה לבניין יש ניצוצות מארון החשמל בלובי
CLEANLINESS,LOW,יש הרבה אשפה בחדר אשפה וריח רע הדיירים התלוננו על זה,במחסן,MEDIUM,type_CLEANLINESS selected_LOW location_במחסן יש הרבה אשפה בחדר אשפה וריח רע הדיירים התלוננו על זה
SAFETY,HIGH,קיר או תקרה נראים לפני קריסה,בחדר אשפה,HIGH,type_SAFETY selected_HIGH location_בחדר אשפה קיר או תקרה נראים לפני קריסה
NOISE,MEDIUM,רעש מתמשך מהחניה זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בחניה,MEDIUM,type_NOISE selected_MEDIUM location_בחניה רעש מתמשך מהחניה זה קורה כבר כמה פעמים הדיירים התלוננו על זה
CLEANLINESS,LOW,יש מעט אבק ליד הכניסה זה קורה כבר כמה פעמים,בחדר אשפה,LOW,type_CLEANLINESS selected_LOW location_בחדר אשפה יש מעט אבק ליד הכניסה זה קורה כבר כמה פעמים
NOISE,HIGH,קולות חזקים של שבירה ואלימות מהדירה,בקומה 1,HIGH,type_NOISE selected_HIGH location_בקומה 1 קולות חזקים של שבירה ואלימות מהדירה
SAFETY,MEDIUM,תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה,בגינה,MEDIUM,type_SAFETY selected_MEDIUM location_בגינה תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה
CLEANLINESS,LOW,פח קטן לא רוקן אבל לא דחוף,,LOW,type_CLEANLINESS selected_LOW location_ פח קטן לא רוקן אבל לא דחוף
SAFETY,LOW,יש סכנת התחשמלות,במחסן,HIGH,type_SAFETY selected_LOW location_במחסן יש סכנת התחשמלות
NOISE,LOW,רעש קל מהחצר בשעות היום,בלובי,LOW,type_NOISE selected_LOW location_בלובי רעש קל מהחצר בשעות היום
CLEANLINESS,MEDIUM,לכלוך חמור שעלול לגרום לסכנה בריאותית,בלובי,HIGH,type_CLEANLINESS selected_MEDIUM location_בלובי לכלוך חמור שעלול לגרום לסכנה בריאותית
CLEANLINESS,LOW,יש קצת לכלוך בלובי,בלובי,LOW,type_CLEANLINESS selected_LOW location_בלובי יש קצת לכלוך בלובי
SAFETY,HIGH,ריח גז חזק בבניין,בחדר מדרגות,HIGH,type_SAFETY selected_HIGH location_בחדר מדרגות ריח גז חזק בבניין
OTHER,HIGH,בעיה חמורה שמסכנת דיירים,,HIGH,type_OTHER selected_HIGH location_ בעיה חמורה שמסכנת דיירים
SAFETY,HIGH,חוטי חשמל חשופים ליד הכניסה הדיירים התלוננו על זה,,HIGH,type_SAFETY selected_HIGH location_ חוטי חשמל חשופים ליד הכניסה הדיירים התלוננו על זה
NOISE,LOW,שומעים מעט רעש מהשכנים במהלך היום זה קורה כבר כמה פעמים הדיירים התלוננו על זה,במחסן,LOW,type_NOISE selected_LOW location_במחסן שומעים מעט רעש מהשכנים במהלך היום זה קורה כבר כמה פעמים הדיירים התלוננו על זה
CLEANLINESS,HIGH,הצפה בחדר מדרגות ומים זורמים זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בחדר מדרגות,HIGH,type_CLEANLINESS selected_HIGH location_בחדר מדרגות הצפה בחדר מדרגות ומים זורמים זה קורה כבר כמה פעמים הדיירים התלוננו על זה
SAFETY,LOW,מעקה מעט רופף אבל לא נראה מסוכן כרגע נא לטפל בהקדם,במחסן,LOW,type_SAFETY selected_LOW location_במחסן מעקה מעט רופף אבל לא נראה מסוכן כרגע נא לטפל בהקדם
SAFETY,HIGH,זכוכית שבורה מסוכנת ליד הכניסה הדיירים התלוננו על זה,בחדר אשפה,HIGH,type_SAFETY selected_HIGH location_בחדר אשפה זכוכית שבורה מסוכנת ליד הכניסה הדיירים התלוננו על זה
SAFETY,MEDIUM,יש ונדליזם ליד המעלית זה קורה כבר כמה פעמים,בקומה 2,MEDIUM,type_SAFETY selected_MEDIUM location_בקומה 2 יש ונדליזם ליד המעלית זה קורה כבר כמה פעמים
NOISE,LOW,יש רעש חלש מדי פעם אבל לא דחוף זה קורה כבר כמה פעמים,במחסן,LOW,type_NOISE selected_LOW location_במחסן יש רעש חלש מדי פעם אבל לא דחוף זה קורה כבר כמה פעמים
CLEANLINESS,MEDIUM,לכלוך חריג בחדר מדרגות,במחסן,MEDIUM,type_CLEANLINESS selected_MEDIUM location_במחסן לכלוך חריג בחדר מדרגות
OTHER,MEDIUM,תקלה שמשפיעה על כמה דיירים הדיירים התלוננו על זה,ליד המעלית,MEDIUM,type_OTHER selected_MEDIUM location_ליד המעלית תקלה שמשפיעה על כמה דיירים הדיירים התלוננו על זה
SAFETY,MEDIUM,מעקה רופף שצריך תיקון בהקדם,בחניה,MEDIUM,type_SAFETY selected_MEDIUM location_בחניה מעקה רופף שצריך תיקון בהקדם
SAFETY,HIGH,מעלית תקועה עם אנשים בפנים הדיירים התלוננו על זה,במחסן,HIGH,type_SAFETY selected_HIGH location_במחסן מעלית תקועה עם אנשים בפנים הדיירים התלוננו על זה
OTHER,MEDIUM,יש בעיה מתמשכת בבניין נא לטפל בהקדם,ליד ארון החשמל,MEDIUM,type_OTHER selected_MEDIUM location_ליד ארון החשמל יש בעיה מתמשכת בבניין נא לטפל בהקדם
SAFETY,MEDIUM,יש ונדליזם ליד המעלית הדיירים התלוננו על זה,ליד המעלית,MEDIUM,type_SAFETY selected_MEDIUM location_ליד המעלית יש ונדליזם ליד המעלית הדיירים התלוננו על זה
SAFETY,HIGH,מעקה רופף שצריך תיקון בהקדם,בחניה,MEDIUM,type_SAFETY selected_HIGH location_בחניה מעקה רופף שצריך תיקון בהקדם
